Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Nov 05 2018 - 8:00pm,Huddersfield Town,Fulham,1,0,Anthony Taylor
Nov 10 2018 - 12:30pm,Cardiff City,Brighton & Hove Albion,2,1,Martin Atkinson
Nov 10 2018 - 3:00pm,Huddersfield Town,West Ham United,1,1,Chris Kavanagh
Nov 10 2018 - 3:00pm,Leicester City,Burnley,0,0,Mike Dean
Nov 10 2018 - 3:00pm,Newcastle United,AFC Bournemouth,2,1,Lee Probert
Nov 10 2018 - 3:00pm,Southampton,Watford,1,1,Simon Hooper
Nov 10 2018 - 5:30pm,Crystal Palace,Tottenham Hotspur,0,1,Jonathan Moss
Nov 11 2018 - 12:00pm,Liverpool,Fulham,2,0,Paul Tierney
Nov 11 2018 - 2:15pm,Chelsea,Everton,0,0,Kevin Friend
Nov 11 2018 - 4:30pm,Arsenal,Wolverhampton Wanderers,1,1,Stuart Attwell
Nov 11 2018 - 4:30pm,Manchester City,Manchester United,3,1,Anthony Taylor
Nov 24 2018 - 3:00pm,Brighton & Hove Albion,Leicester City,1,1,Chris Kavanagh
Nov 24 2018 - 3:00pm,Everton,Cardiff City,1,0,Paul Tierney
Nov 24 2018 - 3:00pm,Fulham,Southampton,3,2,Michael Oliver
Nov 24 2018 - 3:00pm,Manchester United,Crystal Palace,0,0,Lee Mason
Nov 24 2018 - 3:00pm,Watford,Liverpool,0,3,Jonathan Moss
Nov 24 2018 - 3:00pm,West Ham United,Manchester City,0,4,Andre Marriner
Nov 24 2018 - 5:30pm,Tottenham Hotspur,Chelsea,3,1,Martin Atkinson
Nov 25 2018 - 1:30pm,AFC Bournemouth,Arsenal,1,2,Craig Pawson
Nov 25 2018 - 4:00pm,Wolverhampton Wanderers,Huddersfield Town,0,2,Kevin Friend
Nov 26 2018 - 8:30pm,Burnley,Newcastle United,1,2,Anthony Taylor
Nov 30 2018 - 8:00pm,Cardiff City,Wolverhampton Wanderers,2,1,Andre Marriner
Dec 01 2018 - 3:00pm,Crystal Palace,Burnley,2,0,Lee Probert
Dec 01 2018 - 3:00pm,Huddersfield Town,Brighton & Hove Albion,1,2,Michael Oliver
Dec 01 2018 - 3:00pm,Leicester City,Watford,2,0,Graham Scott
Dec 01 2018 - 3:00pm,Manchester City,AFC Bournemouth,3,1,Stuart Attwell
Dec 01 2018 - 3:00pm,Newcastle United,West Ham United,0,3,Paul Tierney
Dec 01 2018 - 5:30pm,Southampton,Manchester United,2,2,Kevin Friend
Dec 02 2018 - 12:00pm,Chelsea,Fulham,2,0,Craig Pawson
Dec 02 2018 - 2:05pm,Arsenal,Tottenham Hotspur,4,2,Mike Dean
Dec 02 2018 - 4:15pm,Liverpool,Everton,1,0,Chris Kavanagh
Dec 04 2018 - 7:45pm,AFC Bournemouth,Huddersfield Town,2,1,Roger East
Dec 04 2018 - 7:45pm,Brighton & Hove Albion,Crystal Palace,3,1,Kevin Friend
Dec 04 2018 - 7:45pm,West Ham United,Cardiff City,3,1,Graham Scott
Dec 04 2018 - 8:00pm,Watford,Manchester City,1,2,Paul Tierney
Dec 05 2018 - 7:45pm,Burnley,Liverpool,1,3,Stuart Attwell
Dec 05 2018 - 7:45pm,Fulham,Leicester City,1,1,David Coote
Dec 05 2018 - 7:45pm,Wolverhampton Wanderers,Chelsea,2,1,Jonathan Moss
Dec 05 2018 - 7:45pm,Everton,Newcastle United,1,1,Lee Mason
Dec 05 2018 - 8:00pm,Manchester United,Arsenal,2,2,Andre Marriner
Dec 05 2018 - 8:00pm,Tottenham Hotspur,Southampton,3,1,Anthony Taylor
Dec 08 2018 - 12:30pm,AFC Bournemouth,Liverpool,0,4,Lee Mason
Dec 08 2018 - 3:00pm,Arsenal,Huddersfield Town,1,0,Paul Tierney
Dec 08 2018 - 3:00pm,Burnley,Brighton & Hove Albion,1,0,Martin Atkinson
Dec 08 2018 - 3:00pm,Cardiff City,Southampton,1,0,Jonathan Moss
Dec 08 2018 - 3:00pm,Manchester United,Fulham,4,1,Lee Probert
Dec 08 2018 - 3:00pm,West Ham United,Crystal Palace,3,2,Anthony Taylor
Dec 08 2018 - 5:30pm,Chelsea,Manchester City,2,0,Michael Oliver
Dec 08 2018 - 7:45pm,Leicester City,Tottenham Hotspur,0,2,Craig Pawson
Dec 09 2018 - 4:00pm,Newcastle United,Wolverhampton Wanderers,1,2,Mike Dean
Dec 10 2018 - 8:00pm,Everton,Watford,2,2,Kevin Friend
Dec 15 2018 - 12:30pm,Manchester City,Everton,3,1,Craig Pawson
Dec 15 2018 - 3:00pm,Crystal Palace,Leicester City,1,0,Michael Oliver
Dec 15 2018 - 3:00pm,Huddersfield Town,Newcastle United,0,1,Anthony Taylor
Dec 15 2018 - 3:00pm,Tottenham Hotspur,Burnley,1,0,Graham Scott
Dec 15 2018 - 3:00pm,Watford,Cardiff City,3,2,Andy Madley
Dec 15 2018 - 3:00pm,Wolverhampton Wanderers,AFC Bournemouth,2,0,Simon Hooper
Dec 15 2018 - 5:30pm,Fulham,West Ham United,0,2,Mike Dean
Dec 16 2018 - 1:30pm,Brighton & Hove Albion,Chelsea,1,2,Stuart Attwell
Dec 16 2018 - 1:30pm,Southampton,Arsenal,3,2,Chris Kavanagh
Dec 16 2018 - 4:00pm,Liverpool,Manchester United,3,1,Martin Atkinson
Dec 21 2018 - 8:00pm,Wolverhampton Wanderers,Liverpool,0,2,Craig Pawson
Dec 22 2018 - 12:30pm,Arsenal,Burnley,3,1,Kevin Friend
Dec 22 2018 - 3:00pm,AFC Bournemouth,Brighton & Hove Albion,2,0,Mike Dean
Dec 22 2018 - 3:00pm,Chelsea,Leicester City,0,1,Lee Probert
Dec 22 2018 - 3:00pm,Huddersfield Town,Southampton,1,3,Stuart Attwell
Dec 22 2018 - 3:00pm,Manchester City,Crystal Palace,2,3,Andre Marriner
